C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='A'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
141 |HD 5416                            |*  |00 56 43.4186904312 +53 21 01.213876296|     ~   |9.44     |9.32     |     ~   |     ~   |A              |   2|   0
142 |BD+52 297                          |*  |01 16 57.3487228176 +53 45 28.011320100|     ~   |10.09    |9.11     |     ~   |     ~   |A              |   9|   0
143 |HD 8494                            |*  |01 25 08.8223445528 +53 56 24.652960584|     ~   |9.82     |9.51     |     ~   |     ~   |A              |   5|   0
144 |HD 8193                            |*  |01 22 18.6887579088 +53 18 02.462274576|     ~   |9.54     |9.25     |     ~   |     ~   |A              |   3|   0
145 |HD 9016                            |*  |01 29 54.0611820816 +53 21 15.145806744|     ~   |9.07     |8.65     |     ~   |     ~   |A              |   3|   0
146 |HD 9087                            |*  |01 30 34.4743946040 +53 38 53.328311376|     ~   |9.53     |9.18     |     ~   |     ~   |A              |   5|   0
147 |HD 9384                            |*  |01 33 30.8884257096 +53 51 44.368855992|     ~   |9.65     |9.58     |     ~   |     ~   |A              |   8|   0
148 |HD 9975                            |*  |01 38 46.6293720600 +53 16 06.722947704|     ~   |9.07     |9.00     |     ~   |     ~   |A              |   4|   0
149 |HD 232490A                         |*  |01 39 18.8503730328 +52 57 12.914553708|     ~   |10.09    |9.86     |10.00    |     ~   |A              |   4|   0
150 |HD 16185                           |SB*|02 37 24.5518012080 +46 21 17.372528172|     ~   |9.54     |9.20     |     ~   |     ~   |A              |  11|   0
151 |HD 275339                          |*  |03 28 22.7128859808 +41 30 11.755757016|     ~   |11.45    |10.93    |     ~   |     ~   |A              |   3|   0
152 |HD 275532                          |*  |03 36 23.7698989560 +40 34 33.610954332|     ~   |11.43    |11.19    |     ~   |     ~   |A              |   3|   0
153 |V* V691 Per                        |dS*|03 37 15.0164294304 +40 53 59.475260976|     ~   |11.65    |11.19    |     ~   |     ~   |A              |   4|   0
154 |HD 275546                          |*  |03 35 31.1590702776 +39 37 07.042822212|     ~   |11.82    |12.04    |     ~   |     ~   |A              |   2|   0
155 |HD 228711                          |*  |20 16 40.6013986488 +41 14 41.096862672|     ~   |11.19    |11.02    |     ~   |     ~   |A              |   3|   0
156 |HD 228446                          |** |20 13 44.68890 +40 50 19.4389          |     ~   |     ~   |     ~   |     ~   |     ~   |A              |  14|   0
157 |HD 192638                          |*  |20 14 17.7940750536 +40 42 37.935892584|     ~   |8.70     |8.43     |     ~   |     ~   |A              |   6|   0
158 |HD 228925                          |*  |20 19 28.9011157680 +41 41 07.590760044|     ~   |11.08    |10.69    |     ~   |     ~   |A              |   4|   0
159 |BD+40 4008                         |** |20 05 10.8667 +40 44 05.114            |     ~   |9.30     |9.16     |     ~   |     ~   |A              |   2|   0
160 |HD 193091                          |*  |20 16 52.4382088536 +42 52 15.812958828|     ~   |8.65     |8.67     |     ~   |     ~   |A              |  10|   0
161 |HD 193486                          |** |20 18 50.6292 +42 43 49.254            |     ~   |8.75     |8.80     |     ~   |     ~   |A              |   8|   0
162 |HD 194240                          |** |20 22 51.41 +42 43 16.0                |     ~   |     ~   |     ~   |     ~   |     ~   |A              |   7|   0
163 |HD 195376                          |*  |20 29 15.4788872304 +42 16 47.521720704|     ~   |8.80     |8.84     |     ~   |     ~   |A              |   5|   0
164 |Cl* NGC 6910 SIC 121               |*  |20 24 31.3379045664 +42 13 34.278079980|     ~   |13.38    |12.62    |     ~   |     ~   |A              |   2|   0
165 |Cl* NGC 6910 SIC 124               |*  |20 24 35.9467170552 +42 15 26.736051600|     ~   |12.67    |11.30    |     ~   |     ~   |A              |   3|   0
166 |HD 229170                          |*  |20 23 00.0842722896 +41 50 42.400767480|     ~   |11.08    |10.85    |     ~   |     ~   |A              |   3|   0
167 |HD 196019                          |*  |20 32 57.4924778952 +45 36 51.496582500|     ~   |8.85     |8.72     |     ~   |     ~   |A              |   3|   0
168 |BD+44 3544                         |*  |20 41 53.2911214224 +44 51 07.919283996|     ~   |10.61    |10.09    |     ~   |     ~   |A              |   1|   0
169 |EM* UHA 58                         |Em*|20 53 33.6546664128 +46 00 11.288081088|     ~   |13.5     |13.0     |     ~   |     ~   |A              |   3|   0
170 |HD 201231                          |** |21 06 32.6927 +48 23 12.497            |     ~   |9.29     |9.18     |     ~   |     ~   |A              |   5|   0
171 |HD 202085                          |*  |21 12 03.6605031000 +49 11 26.960952624|     ~   |8.76     |8.66     |     ~   |     ~   |A              |   3|   0
172 |TYC 3598-89-1                      |*  |21 22 53.3266093608 +50 24 42.608508840|     ~   |11.31    |10.83    |     ~   |     ~   |A              |   2|   0
173 |TYC 3603-1962-1                    |*  |21 36 06.2068144632 +52 28 34.109544504|     ~   |11.45    |10.90    |     ~   |     ~   |A              |   1|   0
174 |BD+53 2700                         |*  |21 45 57.7006476984 +53 42 36.141655716|     ~   |10.09    |9.79     |     ~   |     ~   |A              |   1|   0
175 |HD 209179                          |V* |21 59 55.6259503296 +54 04 26.365568484|     ~   |9.00     |8.97     |     ~   |     ~   |A              |   3|   0
176 |HD 210886                          |*  |22 12 05.7144826320 +55 45 30.653063172|     ~   |9.75     |9.58     |     ~   |     ~   |A              |  12|   0
177 |TYC 3973-679-1                     |*  |22 01 20.5597076016 +55 13 43.119367140|     ~   |11.41    |10.92    |     ~   |     ~   |A              |   1|   0
178 |HD 235762                          |*  |22 13 27.2000306544 +54 33 09.522059904|     ~   |9.84     |9.60     |     ~   |     ~   |A              |   7|   0
179 |HD 211208                          |*  |22 14 12.2800632360 +54 32 47.304822228|     ~   |9.22     |9.11     |     ~   |     ~   |A              |   7|   0
180 |HD 211058                          |*  |22 13 09.2239654776 +53 54 13.698706572|     ~   |9.14     |9.00     |     ~   |     ~   |A              |   3|   0
