,ID,Spectral Class,Ra,Dec,flux(U),flux(B),flux(V),flux(R),flux(I),flux(G),flux(J),flux(H),flux(K)
3515,HD  31978,A,05 01 38.6744,+38 18 42.049,--,9.96,9.64,--,--,9.735082,9.35,9.307,9.28
3516,IRAS 17374-3901,O,17 40 52.2949,-39 03 02.841,--,--,--,--,--,19.892305,10.783,8.941,7.526
3517,HD 283867,M,04 46 44.0945,+26 18 14.226,--,12.2,10.03,--,--,8.915689,5.786,4.784,4.523
3518,TYC 4098-1598-1,K,05 43 57.0826,+62 48 25.375,--,11.62,10.72,--,--,10.368726,8.836,8.318,8.2
3519,HD 293631,F,07 14 02.3192,+00 00 53.407,--,11.09,10.66,--,--,10.685105,10.173,10.06,10.013
3520,EM* CGHA   44,M,21 08 17.1299,+46 23 46.722,--,13.71,11.89,--,--,10.021579,6.318,5.327,4.983
3521,TYC 4420-1197-1,K,16 43 56.6582,+68 41 38.039,--,11.81,10.68,--,--,10.313993,8.566,7.975,7.834
3522,BD+43  3823B,A,21 09 54.0186,+44 21 22.367,--,11.21,10.89,--,--,10.96596,10.37,10.309,10.312
3523,HD 279089,K,03 52 22.4895,+35 29 51.636,--,12.25,11.16,--,--,10.516949,8.343,7.609,7.446
3524,GRA B0656+54,K,07 00 51.2,+54 15 49,--,--,18.8,--,--,--,--,--,--
3525,LS   I +63  148,B,01 28 49.5534,+63 50 58.006,--,12.89,11.95,--,--,11.750328,10.328,10.088,9.953
3526,IRAS 17172-3919,O,17 20 41.3658,-39 21 58.000,--,--,--,--,--,17.929487,10.143,8.129,6.91
3527,HD  15092,A,02 27 37.9015,+53 36 51.781,--,9.62,9.52,--,--,9.498592,9.204,9.201,9.18
3528,Cl Trumpler   37   983,K,21 31 21.7819,+58 28 53.007,--,13.1,10.78,--,--,10.243775,7.744,6.955,6.748
3529,ISOGAL-P J173832.5-312042,O,17 38 32.5046,-31 20 42.745,--,--,--,--,--,--,--,9.988,7.755
3530,2MASS J11410293-2627330,M,11 41 02.9618,-26 27 32.984,--,--,--,--,--,19.83151,16.69,--,--
3531,HD  50383,G,06 56 20.5945,+56 47 24.028,--,10.54,10.04,--,--,9.940237,9.122,8.952,8.879
3532,CHSS  611,F,09 20 21.1622,+28 55 20.763,--,--,14.86,--,--,14.774393,14.009,13.834,13.903
3533,V* V691 Per,A,03 37 15.0164,+40 53 59.475,--,11.65,11.19,--,--,11.116852,10.35,10.191,10.128
3534,EM* GGA  114,B,01 49 31.3204,+58 56 49.115,--,--,12.82,12.22,--,12.405459,11.417,11.249,11.113
3535,EM* GGA  118,A,01 51 58.3029,+60 36 16.563,--,--,12.51,12.42,--,12.266579,11.457,11.314,11.164
3536,HD  70225,F,08 21 50.5652,+27 26 16.856,--,9.35,8.98,--,--,8.970513,8.453,8.406,8.326
3537,Putney 1,G,04 13 11,+19 01.1,--,--,--,--,--,--,--,--,--
3538,OH 347.09+00.21,O,17 10 00.3679,-39 33 20.156,--,--,--,--,--,--,--,--,13.049
3539,V* V577 And,G,02 38 57.3056,+44 44 23.129,--,11.48,10.85,--,--,10.56724,9.217,8.74,8.658
3540,CHSS  595,F,09 14 09.5237,+29 39 50.852,--,--,13.87,--,--,13.768422,12.952,12.73,12.672
3541,IRAS 16538-4135,O,16 57 23.6428,-41 39 56.970,--,--,--,--,--,15.739025,9.561,7.373,5.706
3542,LBQS 2350-0010,F,23 52 55.8197,+00 06 09.194,--,--,--,--,--,17.614151,16.667,16.112,--
3543,HD 284020,A,04 59 16.3214,+24 53 43.808,--,12.153,11.532,11.484,--,--,10.299,10.135,10.042
3544,SBSS 1554+496,B,15 55 38.5678,+49 32 16.023,--,17.0,--,--,--,16.66003,16.19,--,--
3545,BD+50  1602,G,09 03 06.0105,+50 02 00.235,--,12.35,10.62,--,--,9.913687,7.669,6.981,6.719
3546,BD+63   934,G,11 02 33.5832,+63 08 56.255,--,10.75,10.29,--,--,10.17645,9.417,9.219,9.192
3547,OH 355.03+00.17,O,17 32 39.1406,-33 04 15.186,--,--,--,--,--,--,13.43,11.013,9.516
3548,BD+56   472,B,02 16 53.0328,+56 52 15.329,9.49,10.03,9.1828,--,8.7606,9.858621,9.501,9.476,9.477
3549,HD  32852,F,05 06 34.1869,+12 42 55.075,--,9.51,9.05,--,--,8.94894,8.007,7.821,7.779
3550,IRAS 17133-3032,O,17 16 31.2530,-30 35 42.644,--,--,--,--,--,--,--,10.849,8.203
3551,G 259-30,M,18 27 31.1973,+78 04 00.879,--,--,--,11.191,--,11.107988,9.171,8.543,8.403
3552,BD+83   629,K,22 10 20.5188,+84 39 40.812,--,11.78,10.46,--,--,9.991219,7.989,7.387,7.174
3553,HS 0733+4432,G,07 37 25.7256,+44 26 14.006,--,18.2,--,--,--,17.212307,16.015,15.723,15.437
3554,2MASS J19012717-3659085,M,19 01 27.1758,-36 59 08.597,--,18.3,16.9,--,--,13.798299,10.805,10.111,9.885
3555,BD+38  4244,M,20 49 47.5361,+38 33 10.888,--,10.21,8.22,--,--,7.143459,4.4,3.351,2.98
3556,V* V2171 Cyg,M,21 46 46.3825,+37 39 28.759,--,9.0,7.26,--,--,6.218081,3.36,2.459,2.196
3557,HD 278620,F,03 26 48.2450,+36 33 48.011,--,11.86,11.37,--,--,11.135697,9.991,9.713,9.661
3558,IRAS 17210-3720,O,17 24 29.6332,-37 22 48.924,--,--,--,--,--,16.021646,8.287,6.23,5.195
3559,HD 239781,G,21 50 44.4256,+58 55 27.349,--,10.97,10.44,--,--,10.362838,9.354,9.116,9.015
3560,HD 284707,A,04 42 20.2029,+20 13 47.590,--,11.85,11.72,--,--,11.33722,10.54,10.492,10.412
3561,LS   I +60  186,B,01 46 42.4551,+60 51 59.455,--,12.04,11.93,--,--,11.435507,10.496,10.313,10.281
3562,LS III +47   37,B,21 24 12.51,+48 00 39.9,--,13.2,--,--,--,--,--,--,--
3563,TYC 3653-1426-1,B,00 23 36.4429,+53 22 11.211,--,10.64,10.33,--,--,10.206391,9.437,9.371,9.308
3564,HD 312620,M,18 07 59.7856,-17 51 07.988,--,12.07,10.28,--,--,9.553723,7.036,6.199,5.954
3565,IRAS 17367-3521,O,17 40 07.2468,-35 23 04.519,--,--,--,--,--,15.533014,8.966,7.403,6.393
3566,HD 282604,F,04 56 06.0893,+31 29 58.834,--,10.0,--,--,--,11.558682,10.179,9.977,9.859
3567,HD 276240,K,04 21 21.8326,+42 42 49.949,--,11.78,11.26,--,--,11.17085,10.065,9.8,9.715
3568,HIP  62513,G,12 48 39.6118,+68 21 22.335,--,11.88,11.41,--,--,11.22919,10.371,10.127,10.022
3569,HD 192221,A,20 11 16.3655,+54 26 43.154,--,9.11,8.99,--,--,9.01026,8.732,8.749,8.725
3570,BD+05  4710,M,21 08 25.4542,+06 24 29.049,--,11.53,10.11,--,--,9.512396,--,--,--
3571,HD   5535,A,00 58 20.7917,+66 03 09.460,--,9.9,9.65,--,--,9.605688,9.016,8.962,8.896
3572,S1* 273,M,07 53 53.2350,-15 17 58.032,--,14.242,12.379,--,--,10.596585,7.394,6.484,6.113
3573,Cl* NGC 2483     LJ      81,F,07 55 19.1676,-27 55 40.095,--,13.35,12.87,--,--,12.715003,11.79,11.579,11.486
3574,BD+70   289A,G,04 20 56.2631,+70 23 13.534,--,10.8,10.19,--,--,10.108426,9.231,9.02,8.945
3575,IRAS 17405-3722,O,17 43 58.6678,-37 23 39.214,--,--,--,--,--,11.46423,6.115,4.91,4.31
3576,IRAS 17251-3615,O,17 28 29.6772,-36 17 34.180,--,--,--,--,--,--,--,10.93,8.581
3577,IRAS 17278-3850,O,17 31 20.9139,-38 52 14.196,--,--,--,--,--,12.583301,5.825,4.559,3.66
3578,BD+56   940,G,04 35 31.8547,+56 57 00.881,--,11.0,9.84,--,--,9.500559,7.778,7.228,7.116
3579,EM* GGA  210,B,02 54 52.3507,+64 29 25.145,12.82,12.74,11.92,--,--,11.626651,9.992,9.705,9.445
3580,TYC 4168-762-1,K,12 48 11.5446,+67 18 08.960,--,11.79,10.96,--,--,10.563842,8.977,8.371,8.279
3581,HD 232439,G,01 27 47.7335,+55 08 18.570,--,11.67,10.78,--,--,10.612309,8.839,8.321,8.204
3582,IRAS 21060+5322,M,21 07 33.4095,+53 35 01.577,--,15.35,12.7,11.95,--,10.762087,7.0,5.92,5.499
3583,Cl Trumpler   37  1839,F,21 06 58.6367,+60 28 04.887,--,12.76,12.13,--,--,11.915,10.497,10.257,10.123
3584,HD 276708,F,04 42 18.5311,+40 44 31.071,--,11.76,11.39,--,--,11.410941,10.31,10.138,10.053
3585,ALS 12241,B,22 15 53.3623,+53 58 02.458,--,12.8,12.8,--,--,12.7887,--,--,--
3586,NAME GM 1-24 IRS 22,M,17 17 02.09,-36 21 09.4,--,--,--,--,--,--,13.89,12.84,11.79
3587,BD+36  1470,K,06 37 56.7424,+36 06 03.630,--,11.17,10.01,--,--,9.627526,7.835,7.255,7.104
3588,IRAS 17212-2837,O,17 24 24.3033,-28 40 17.749,--,--,--,--,--,--,--,--,11.778
3589,G  98-37,M,06 02 53.0247,+31 29 40.828,--,16.3,--,14.3,--,14.002062,11.276,10.768,10.529
3590,HS 1514+4506,G,15 16 13.3681,+44 55 30.144,--,17.6,--,--,--,17.413054,16.094,15.757,--
3591,BD+67   990,G,17 07 38.6103,+67 15 52.493,--,9.95,9.51,--,--,9.430363,8.595,8.394,8.343
3592,TYC 3564-1597-1,F,19 36 52.2054,+49 35 59.382,--,12.25,11.34,--,--,10.952926,9.462,8.949,8.869
3593,HD 277298,A,04 57 45.9613,+39 25 03.040,--,11.35,11.16,--,--,11.215265,10.489,10.412,10.349
3594,AG+79  268,K,08 22 46.4599,+78 51 21.610,--,11.99,10.72,--,--,10.446327,8.763,8.209,8.092
3595,HD  34873,A,05 23 49.5678,+55 25 53.384,--,9.65,9.49,--,--,9.404641,8.978,8.879,8.832
3596,HD 284624,A,04 37 24.6492,+19 58 54.367,--,11.78,12.02,--,--,11.383813,10.474,10.357,10.261
3597,HD 277111,A,04 55 27.9022,+41 51 35.499,--,11.84,11.63,--,--,11.251529,10.424,10.28,10.2
3598,HD 134024,K,15 05 46.7914,+49 29 05.768,--,10.3,9.27,--,--,9.047136,7.577,7.068,6.993
3599,IRAS 17029-4111,O,17 06 26.3971,-41 15 02.322,--,--,--,--,--,--,15.916,11.669,8.455
3600,HD 192891,A,20 15 26.7325,+46 03 41.717,--,9.16,9.12,--,--,9.109764,8.925,8.925,8.907
3601,HIP 117271,K,23 46 46.7950,+72 53 38.543,--,12.48,11.05,--,--,10.484314,8.498,7.914,7.778
3602,HD 317531,M,17 25 55.1934,-31 31 42.454,--,11.5,9.81,--,--,8.712236,5.872,5.065,4.668
3603,V* V1554 Oph,M,17 11 49.0538,-20 50 48.390,--,--,--,--,--,12.537028,9.23,8.343,8.053
3604,HD  91203,G,10 33 24.2056,+61 39 03.371,--,9.8,9.41,--,--,9.325855,8.585,8.404,8.368
3605,TYC   59-496-1,G,03 18 44.3340,+03 39 44.719,--,11.52,10.97,--,--,10.896296,10.101,9.941,9.871
3606,HD 283965,A,04 56 08.8595,+24 08 44.462,--,10.0,--,--,--,11.725843,10.944,10.867,10.795
3607,HD 224600,A,23 59 05.7224,+55 57 21.947,--,8.38,8.36,--,--,8.343163,8.262,8.26,8.266
3608,EM* GGR   87,B,22 38 41.1641,+58 17 15.646,--,12.3,12.3,--,--,11.596712,10.407,10.121,9.861
3609,HD  55408,F,07 13 59.3913,+27 39 50.146,--,9.57,9.27,--,--,9.179623,8.567,8.399,8.376
3610,BD+60   486,B,02 29 32.4729,+60 39 21.712,--,10.25,9.88,--,--,9.815703,9.098,9.037,8.978
3611,HD 334233,M,20 24 30.6449,+30 55 24.455,--,11.58,9.93,--,--,9.198795,6.834,6.024,5.807
3612,HD 282736,M,04 58 45.9442,+30 37 43.031,--,11.78,10.26,9.561,--,9.099235,6.222,5.279,4.992
3613,BD+66  1442,K,21 49 28.3820,+66 49 41.674,--,11.29,9.79,--,--,9.249659,7.123,6.407,6.232
3614,IRAS 17281-3100,O,17 31 21.9580,-31 02 54.560,--,--,--,--,--,--,--,--,12.049
3615,HD  23242,F,03 46 43.1014,+59 48 16.247,10.1,9.94,9.57,--,--,9.475945,8.781,8.72,8.661
3616,LS III +55  116,B,23 41 44.3912,+55 28 43.553,--,11.31,11.01,--,--,11.092339,10.642,10.646,10.616
3617,HD 233825,K,11 19 34.4223,+49 57 22.384,--,11.26,10.47,--,--,10.157545,8.652,8.125,8.007
3618,HD  27968,A,04 27 26.7509,+50 43 05.329,--,9.62,9.18,--,--,9.068016,8.162,8.086,8.035
3619,HD 274349,F,05 35 36.8673,-43 36 23.240,--,11.7,--,--,--,11.762976,10.979,10.781,10.712
3620,AG+55  988,F,15 26 35.9351,+54 54 05.136,--,10.0,9.6,--,--,9.547695,8.819,8.648,8.585
3621,HD 275503,A,03 31 19.3844,+37 24 18.089,--,12.22,11.57,--,--,11.425767,10.306,10.058,9.958
3622,BD+36  1974,F,09 34 11.7297,+36 21 14.950,--,9.05,8.63,--,--,8.612068,7.89,7.739,7.681
3623,BD+45  1867,F,10 48 51.1630,+45 01 28.371,--,10.44,9.94,--,--,9.840677,9.012,8.839,8.779
3624,HD 152249,O,16 54 11.6395,-41 50 57.295,5.91,6.65,6.45,--,--,6.369895,5.901,5.84,5.754
3625,BD+69   154,K,02 31 54.5518,+69 55 57.056,--,10.83,9.21,--,--,8.662888,6.413,5.699,5.489
3626,HD  50382,F,06 57 19.6163,+63 10 41.442,--,9.44,9.19,--,--,9.151326,8.685,8.607,8.562
3627,BD+60  1975,G,19 36 00.7774,+61 17 02.854,--,10.43,10.05,--,--,9.956175,9.045,8.774,8.762
3628,TYC 4128-1421-1,F,08 52 26.3169,+60 33 39.814,--,11.94,11.59,--,--,11.194366,10.287,10.036,9.998
3629,IRAS 17312-3535,O,17 34 36.3912,-35 37 00.721,--,--,--,--,--,--,--,--,7.582
3630,BD+61    62,K,00 24 10.5554,+62 26 51.567,--,11.47,10.28,--,--,9.769162,7.743,7.132,6.971
3631,2MASX J00400386+0513155,F,00 40 03.8402,+05 13 15.415,--,16.0,--,--,--,19.372871,13.305,12.541,12.245
3632,LS III +44   21,B,20 43 36.4808,+44 55 05.242,--,11.78,10.88,--,--,10.347055,8.144,7.711,7.461
3633,HD 281314,G,03 53 55.21,+30 35 28.2,--,10.0,--,--,--,--,9.485,9.195,9.052
3634,SBSS 1043+569,F,10 46 54.7707,+56 43 56.127,--,--,--,--,--,17.19233,16.14,16.11,15.8
3635,BD+52   804,B,04 18 12.8737,+52 24 08.973,--,10.13,10.01,--,--,9.828018,9.264,9.164,9.114
3636,HD  19786,A,03 11 44.3576,+23 59 13.454,--,9.32,8.85,--,--,8.746649,7.848,7.694,7.633
3637,HS 1506+4619,A,15 08 02.6,+46 08 11,--,--,--,--,--,--,--,--,--
3638,TYC  491-2551-1,M,19 40 17.6329,+05 57 58.515,--,12.1,10.19,--,--,9.427371,6.949,6.154,5.885
3639,BD+68  1012,K,18 37 49.5330,+68 48 55.927,--,10.79,10.17,--,--,9.994557,9.061,8.79,8.731
3640,IRAS 17328-3614,O,17 36 15.76,-36 16 10.9,--,--,--,--,--,--,12.634,10.007,8.143
3641,HD 233873,K,11 51 39.4800,+50 02 19.483,--,11.37,10.65,--,--,10.522737,9.535,9.24,9.173
3642,HD 195939,K,20 32 21.3141,+48 23 11.605,--,9.4,8.38,--,--,8.102774,6.537,6.023,5.933
3643,HD 285057,A,05 00 31.7992,+20 21 28.864,--,12.15,11.93,--,--,11.651861,10.815,10.692,10.619
3644,HD 283510,A,04 12 30.5410,+24 37 27.122,--,10.0,--,--,--,11.635833,10.497,10.338,10.222
3645,LS III +58   24,B,22 19 24.4290,+58 52 19.959,--,12.95,11.91,--,--,11.647499,9.938,9.703,9.518
3646,2MASSs J0257299+204308,M,02 57 29.94,+20 43 08.9,--,--,--,--,--,--,--,--,--
3647,HD  49879,G,06 55 26.6358,+65 37 58.689,--,10.08,9.79,--,--,9.668061,9.045,8.896,8.842
3648,HD 142498,G,15 32 15.2395,+85 14 27.603,--,9.27,8.71,--,--,8.582737,7.663,7.452,7.394
3649,HD  29343,A,04 37 37.5103,+08 07 12.158,--,9.35,9.15,--,--,9.109066,8.449,8.236,8.182
3650,BD+83   466,K,15 55 41.0485,+83 15 19.322,--,11.77,10.56,--,--,10.224654,8.223,7.593,7.435
3651,BD-15  1151,M,05 45 31.0822,-15 14 13.637,--,11.16,9.7,--,--,9.320864,7.441,6.783,6.61
3652,HD 275870,F,03 50 56.3654,+39 22 10.500,--,11.65,11.0,--,--,11.001481,10.068,9.945,9.856
3653,HD 196603,G,20 34 59.3506,+63 28 31.147,--,9.76,9.16,--,--,9.012959,8.041,7.713,7.659
3654,HD  31948,A,05 02 22.9091,+50 29 01.760,--,9.57,9.39,--,--,9.366907,8.865,8.886,8.814
3655,LS   V +49   12,B,04 19 11.8512,+49 36 08.284,--,11.37,10.77,--,--,10.42849,8.984,8.762,8.631
3656,TYC 4533-668-1,G,06 20 23.1357,+79 50 32.041,--,11.56,11.03,--,--,10.94402,10.138,9.959,9.946
3657,[FS2003] 0991,K,18 49 03.202,+69 23 02.51,--,--,--,--,--,--,--,--,--
3658,BD+81   793,K,22 46 02.1812,+82 41 46.691,--,12.19,10.42,--,--,9.643926,7.143,6.352,6.099
3659,HD 115242,G,13 12 33.0630,+77 50 20.727,--,9.62,9.12,--,--,8.978466,8.112,7.842,7.816
3660,KUV 18046+6436,B,18 04 51.2977,+64 35 56.621,--,16.06,15.99,16.3,--,16.057022,15.864,15.677,15.824
3661,IRAS 17474-3500,O,17 50 45.4196,-35 01 27.648,--,--,19.084,--,13.061,15.233746,8.919,7.624,6.756
3662,HD 280837,K,05 17 29.2700,+34 12 04.023,--,11.33,10.07,--,--,9.598462,7.472,6.786,6.579
3663,IRAS 17392-3319,O,17 42 33.7332,-33 20 59.802,--,--,--,--,--,--,--,--,11.561
3664,IRAS 17094-3911,O,17 12 51.7563,-39 14 40.616,--,--,--,--,--,18.364697,10.396,7.909,6.314
3665,TYC 3698-2665-1,B,02 26 21.9831,+59 20 51.316,--,12.57,12.84,--,--,12.28236,11.158,11.048,10.954
3666,HD 233027,A,04 52 21.8621,+51 24 15.002,--,9.09,8.94,--,--,8.955,8.447,8.39,8.384
3667,V* V1441 Oph,M,17 08 37.0322,-20 32 26.028,--,--,--,--,--,11.893126,8.627,7.646,7.281
3668,BD+81    31,F,01 06 13.8701,+82 24 59.363,--,10.92,10.31,--,--,10.205662,9.214,8.923,8.833
3669,HD 284730,A,04 43 25.9733,+19 16 50.237,--,11.68,11.18,--,--,10.971838,9.828,9.707,9.607
3670,BD+48  3431,F,21 35 20.4677,+49 22 17.753,--,9.97,9.74,--,--,9.699672,9.186,9.07,9.064
3671,HD 280848,F,05 19 38.3268,+38 22 30.988,--,11.35,11.19,--,--,10.769609,9.831,9.601,9.553
3672,BD-15  5419,M,19 39 35.9322,-15 22 20.189,--,11.61,10.0,--,--,9.310889,6.963,6.18,5.92
3673,V* DX Pup,M,08 02 11.1091,-13 01 05.779,--,12.56,10.58,8.46,--,7.664825,3.528,2.479,2.017
3674,HD 281219,G,03 49 02.1617,+32 42 08.649,--,10.0,--,--,--,11.222512,9.724,9.409,9.277
3675,[D75b] Star 43,M,06 05 27.8844,+22 20 42.339,--,15.7,--,--,--,10.390698,5.79,4.737,4.225
3676,IRAS 17403-3557,O,17 43 44.0214,-35 59 03.336,--,--,--,--,--,16.662842,10.925,8.751,7.352
3677,HS 1350+4806,A,13 52 29.0124,+47 52 13.091,--,--,--,--,--,17.398907,16.441,16.157,15.729
3678,HD 189977,G,19 58 02.0602,+67 51 39.453,--,9.92,9.39,--,--,9.234249,8.335,8.111,8.059
3679,LS III +56   22,B,22 03 13.1017,+56 30 44.163,--,12.44,12.35,--,--,11.942,10.733,10.649,10.575
3680,HD 220181,A,23 21 16.5688,+55 12 38.896,--,9.14,9.05,--,--,9.03474,8.777,8.765,8.722
3681,Cl Trumpler   37  1585,F,21 46 59.2993,+59 28 35.378,--,12.9,--,--,--,11.446505,9.866,9.57,9.47
3682,BD+53   326B,F,01 32 38.4434,+54 44 34.074,--,10.16,10.0,--,--,9.873003,9.415,9.304,9.291
3683,LS   V +44   27,B,05 01 39.0406,+45 01 35.213,--,12.52,11.5,--,--,11.493389,10.005,9.824,9.721
3684,LS   I +59  194,B,03 51 19.8169,+60 01 19.934,12.86,12.68,12.02,--,--,11.826881,10.691,10.434,10.362
3685,HD  72981,F,08 36 44.1081,+27 08 44.623,--,9.78,9.52,--,--,9.444474,8.845,8.763,8.713
3686,TYC 4325-856-1,F,03 10 29.7133,+74 08 48.658,--,11.43,10.68,--,--,10.775291,9.631,9.434,9.364
3687,EM* UHA   13,K,20 44 22.5976,+46 31 17.582,--,15.0,13.0,--,--,12.383325,10.245,9.618,9.429
3688,HD  46357,A,06 35 13.3807,+45 19 34.201,--,10.72,9.36,--,--,8.900667,6.958,6.273,6.129
3689,IRAS 17214-3617,O,17 24 45.6362,-36 19 45.897,--,--,--,--,--,16.266485,8.316,6.169,5.062
3690,HD 198479,B,20 48 54.9964,+45 37 27.164,8.43,8.9,8.62,--,--,8.475216,7.686,7.654,7.612
3691,IRAS 17370-3843,O,17 40 28.1697,-38 45 02.923,--,--,--,--,--,12.700417,7.484,6.2,5.317
3692,Cl Trumpler   37  1767,F,21 31 42.1868,+59 56 45.411,--,13.1,--,--,--,11.823471,10.447,10.254,10.117
3693,HD 204195,A,21 25 48.8119,+42 31 34.627,--,9.21,9.18,--,--,9.158861,9.003,9.045,9.048
3694,[D75b] Em* 22-142,G,22 56 36.5298,+62 40 07.807,15.721,--,13.01,--,11.26,12.352159,9.904,9.257,8.911
3695,HD 192076,A,20 11 13.3822,+46 14 38.701,--,11.0,10.6,--,--,10.685181,10.215,10.12,10.093
3696,HD  75701,F,08 51 46.8708,+10 22 43.809,--,9.91,9.71,--,--,9.654279,9.275,9.224,9.179
3697,LS III +52   45,B,23 45 12.6278,+52 40 26.177,--,11.01,10.83,--,--,10.963363,10.868,10.92,10.924
3698,OH 344.83-01.67,O,17 10 53.6583,-42 28 59.689,--,--,--,--,--,17.708555,9.35,6.92,5.413
3699,BD+49   367,K,01 24 09.1345,+50 37 50.678,--,11.68,10.47,--,--,10.063659,8.203,7.552,7.421
3700,IRAS 17428-3812,O,17 46 16.0439,-38 13 36.396,--,--,--,--,--,11.230102,6.392,5.336,4.772
3701,LS   I +63  176,B,01 58 27.8870,+63 26 15.885,11.36,11.62,11.01,--,--,10.829718,9.672,9.517,9.449
3702,BD+40  4436,B,21 11 47.9813,+40 36 30.247,--,11.5,11.31,--,--,10.97109,10.182,10.034,9.744
3703,HD 354890,M,20 07 31.6170,+13 45 27.800,--,12.55,10.78,--,--,10.152956,7.908,7.135,6.908
3704,Cl Trumpler   37    32,G,21 08 50.7311,+56 47 42.022,--,12.81,11.37,--,--,11.409804,10.12,9.685,9.638
3705,IRAS 16517-3616,O,16 55 03.6141,-36 21 08.239,--,--,--,--,--,11.941694,6.056,4.736,3.873
3706,HD  42703,A,06 18 20.4564,+69 52 52.562,--,9.84,9.61,--,--,9.617148,9.242,9.131,9.123
3707,HD  52419,A,07 07 20.7482,+71 13 01.451,--,9.69,9.44,--,--,9.378492,8.704,8.442,8.368
3708,BD+57  2474,F,22 10 44.0057,+58 29 40.186,--,11.13,9.817,9.29,--,9.0657,6.336,5.826,5.588
3709,Cl Trumpler   37   656,F,21 23 50.1936,+58 09 53.893,--,12.9,--,--,--,12.018079,10.915,10.672,10.597
3710,GSC 01227-00224,M,02 57 21.4934,+19 47 30.621,--,--,12.4,--,--,11.924595,9.565,8.957,8.776
3711,CLS  17,M,09 51 42.8920,+34 14 49.854,--,18.3,--,17.0,--,17.592035,15.925,15.494,15.183
3712,GSC 04050-01717,B,02 20 36.1195,+63 10 05.060,--,--,12.2,--,--,12.019112,10.949,10.711,10.686
3713,LS III +42    4,B,20 14 02.4454,+42 35 50.683,--,10.72,10.35,--,--,10.328011,9.594,9.546,9.54
3714,BD+24  1676,F,07 30 41.2662,+24 05 10.248,--,11.15,10.7,10.4,--,10.654422,9.811,9.545,9.541
3715,HD 208725,A,21 55 11.7818,+69 47 09.215,--,9.61,9.49,--,--,9.467759,9.144,9.124,9.109
3716,LP  411-33,M,02 59 12.9889,+20 05 49.485,--,17.1,--,14.4,--,14.458412,11.869,11.311,11.111
3717,PN K  4-3,M,18 33 49.5862,+05 53 07.097,--,--,--,16.48,--,13.869048,9.572,8.53,8.039
3718,2MASS J18573016-3040437,M,18 57 30.1720,-30 40 43.675,--,--,--,--,--,15.143412,12.332,11.377,11.13
3719,HD 281769,G,04 13 32.5006,+32 00 10.991,--,10.0,--,--,--,11.752443,9.924,9.379,9.211
3720,HD 283948,K,04 51 42.4657,+24 58 32.763,--,12.01,10.44,--,--,9.498916,6.718,5.824,5.503
3721,HD  77727,G,09 06 27.9245,+54 43 58.123,--,10.03,9.4,--,--,9.3164,8.356,8.066,8.006
3722,HD 184658,A,19 32 44.5243,+53 49 39.443,--,9.69,9.66,--,--,9.653321,9.51,9.552,9.535
3723,HD 358625,M,20 58 01.2328,-17 00 18.267,--,12.58,10.81,--,--,9.908939,7.161,6.311,6.002
3724,LBQS 2229+0005,F,22 31 56.0566,+00 21 18.167,--,18.6,--,18.3,--,18.265932,--,--,--
3725,TYC 3515-904-1,F,17 53 01.2295,+48 29 30.634,--,10.99,10.64,--,--,10.61378,9.889,9.752,9.679
3726,RX J1753.8+6852,K,17 53 51.401,+68 52 19.52,--,--,--,--,--,--,--,--,--
3727,BD+75   784,K,21 19 33.0546,+75 57 26.931,--,11.38,9.7,--,--,9.068927,6.726,6.039,5.867
3728,V* V1359 Oph,M,17 06 12.5414,-20 51 55.952,--,--,--,--,--,12.410275,8.455,7.454,7.066
3729,HD 220315,A,23 22 10.3871,+62 32 53.325,--,8.83,8.77,--,--,8.732246,8.557,8.55,8.534
3730,HD  54098,K,07 12 05.2659,+64 00 20.325,--,10.12,9.15,--,--,8.898054,7.396,6.928,6.825
3731,HD  45165,A,06 28 39.8340,+50 31 05.395,--,9.63,9.59,--,--,9.612215,9.529,9.568,9.572
3732,LS III +56   54,B,22 26 26.0166,+56 25 47.253,11.29,11.6,11.3,--,--,10.870033,9.67,9.531,9.446
3733,IRC -10426,M,18 29 01.9593,-11 31 38.392,--,--,--,16.3,--,12.508553,5.628,3.54,2.53
3734,2MASS J18523830-2958246,M,18 52 38.3159,-29 58 24.632,--,16.81,--,14.74,--,14.859603,12.011,11.104,10.838
3735,LS III +57  123,B,23 45 27.2378,+58 07 01.705,--,11.97,11.69,--,--,11.661733,10.972,10.932,10.875
3736,HS 1658+4530,A,16 59 57.0626,+45 25 50.915,--,--,--,--,--,16.927156,15.895,15.919,--
3737,CHSS   19,F,10 36 23.8,+29 17 34,--,--,15.46,--,--,--,--,--,--
3738,LS   I +58  114,B,03 06 08.9416,+58 49 36.771,10.96,11.21,10.59,--,--,10.371949,9.039,8.946,8.829
3739,HD  97099,K,11 11 25.8670,+52 47 32.593,--,10.11,9.04,--,--,8.764521,7.135,6.618,6.518
3740,CHSS  512,F,08 39 50.5284,+29 16 22.250,--,--,12.94,--,--,12.833953,11.915,11.628,11.595
3741,HD  81871,K,09 29 48.4746,+46 05 55.388,--,11.0,9.7,--,--,9.28203,7.386,6.735,6.584
3742,SBSS 1004+598,G,10 07 49.8185,+59 37 49.555,--,16.5,--,--,--,15.551843,14.478,14.026,13.975
3743,IRAS 17366-2922,O,17 39 43.8424,-29 24 13.424,--,--,--,--,--,--,--,--,--
