C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:36

sptype='M'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
141 |[D75b] Star 14                     |S* |02 25 19.3377366456 +58 16 10.636966128|     ~   |16.0     |     ~   |     ~   |     ~   |MS             |   4|   0
142 |Cl* Melotte 20 AP 336              |*  |03 31 55.1499261312 +49 08 29.757312924|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   3|   0
143 |Cl* Melotte 20 AP 350              |*  |03 32 06.8933630088 +49 25 22.470723912|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   7|   0
144 |V* V2305 Cyg                       |S* |19 53 47.9195184000 +47 11 43.424296116|     ~   |     ~   |13.807   |     ~   |     ~   |MS             |  12|   0
145 |BD+50 3000                         |*  |20 10 05.1657324864 +50 34 18.951779784|     ~   |11.32    |9.80     |     ~   |     ~   |M              |   2|   0
146 |V* CX Cyg                          |Mi*|20 10 43.5418949520 +49 49 57.141200856|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
147 |[MK97] 1                           |*  |20 46 02.5454260488 +55 06 12.476967336|     ~   |     ~   |     ~   |11.94    |     ~   |M              |   1|   0
148 |[MK97] 5                           |*  |20 48 36.4430182440 +54 50 24.348943212|     ~   |     ~   |     ~   |12.05    |     ~   |M              |   1|   0
149 |[MK97] 6                           |*  |20 48 45.4771108488 +55 46 53.660587512|     ~   |     ~   |     ~   |     ~   |     ~   |M              |   1|   0
150 |[D75b] Star 90                     |S* |23 46 18.4600420752 +66 49 27.537052620|     ~   |16.5     |     ~   |     ~   |     ~   |MS             |   5|   0
151 |S1* 51                             |AB?|02 53 26.2372092696 +58 51 06.044928084|     ~   |13.60    |11.21    |10.582   |     ~   |M              |   3|   1
152 |V* V2087 Cyg                       |LP*|19 41 27.5376128712 +47 19 41.197924956|     ~   |8.87     |7.24     |     ~   |     ~   |Ma             |  12|   0
