C.D.S.  -  SIMBAD4 rel 1.8  -  2023.08.06CEST15:41:17

sptype='O'
----------

Number of objects : 1000  (truncated to 1000 objects)

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------|----|----
125 |IRAS 16526-3915                    |AB*|16 56 05.1469640208 -39 20 24.712015344|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
126 |IRAS 16534-3846                    |AB*|16 56 52.8440276808 -38 50 55.129085916|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
127 |IRAS 16537-3814                    |AB*|16 57 07.3411234440 -38 19 17.272821612|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
128 |IRAS 16539-3944                    |AB*|16 57 22.94568 -39 48 45.5076          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
129 |IRAS 16540-3949                    |AB*|16 57 30.5299390560 -39 54 31.819225932|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
130 |IRAS 16541-3935                    |AB*|16 57 37.4033007936 -39 40 22.310686704|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
131 |IRAS 16543-3953                    |AB*|16 57 45.0466157928 -39 57 34.478296920|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
132 |IRAS 16545-3825                    |AB*|16 57 58.5509756472 -38 30 20.922452748|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
133 |IRAS 16545-3837                    |AB*|16 57 59.9296709328 -38 41 40.553081844|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
134 |IRAS 16548-3922                    |AB*|16 58 14.8151428344 -39 26 51.292862664|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
135 |IRAS 16549-3951                    |AB*|16 58 22.1753635776 -39 56 03.861065976|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
136 |IRAS 16550-3911                    |AB*|16 58 28.5185884248 -39 15 33.384604032|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
137 |IRAS 16552-3954                    |AB*|16 58 41.44128 -39 58 51.6792          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
138 |IRAS 16556-3956                    |AB*|16 59 00.3955628112 -40 00 27.605654928|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   3|   0
139 |IRAS 16556-3858                    |AB*|16 59 06.1418896440 -39 03 11.481726636|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
140 |IRAS 16558-3958                    |AB*|16 59 16.2430018896 -40 03 10.045321812|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
141 |IRAS 16563-3945                    |AB*|16 59 51.0898965672 -39 50 02.013376308|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
142 |IRAS 16563-3853                    |AB*|16 59 48.7717345896 -38 58 20.126346888|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
143 |IRAS 16567-3838                    |OH*|17 00 09.07440 -38 43 09.1632          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   8|   0
144 |IRAS 16568-3845                    |AB*|17 00 17.2618633704 -38 50 00.449407140|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
145 |IRAS 16568-4054                    |OH*|17 00 23.36448 -40 58 45.5124          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
146 |IRAS 16572-3846                    |AB*|17 00 41.9245299504 -38 50 49.581056580|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
147 |IRAS 16590-3858                    |AB*|17 02 30.0771102624 -39 03 06.608734236|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
148 |IRAS 16593-3932                    |AB*|17 02 45.6913303488 -39 36 50.729077008|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
149 |IRAS 16598-3915                    |AB*|17 03 19.3229155416 -39 19 56.114047200|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
150 |OH 345.202+01.057                  |OH*|17 00 26.96976 -40 32 45.2220          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   4|   0
151 |V* V605 Sco                        |OH*|17 06 27.5778086952 -40 30 26.705857896|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
152 |IRAS 17010-3840                    |OH*|17 04 28.24056 -38 44 21.9192          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |  17|   0
153 |IRAS 17006-3919                    |OH*|17 04 07.8411031464 -39 23 31.122925188|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
154 |IRAS 17009-3909                    |AB*|17 04 24.6785290944 -39 13 23.937231828|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
155 |IRAS 17015-3835                    |AB*|17 04 57.9973693776 -38 39 44.640853776|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
156 |IRAS 17019-3843                    |AB*|17 05 27.0518529000 -38 47 20.335979400|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   2|   0
157 |IRAS 17025-3901                    |AB*|17 05 59.9185165992 -39 05 52.869373440|     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
158 |IRAS 17026-3920                    |OH*|17 06 09.23496 -39 24 56.6964          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   1|   0
159 |IRAS 17029-4111                    |OH*|17 06 26.39712 -41 15 02.3220          |     ~   |     ~   |     ~   |     ~   |     ~   |O-rich         |   5|   0
